Comunidades autónomas;Tipología penal;periodo;Total
CANARIAS;5.1.-Hurtos;2018;5.486
CANARIAS;5.1.-Hurtos;2017;5.816
CANARIAS;5.1.-Hurtos;2016;5.908
CANARIAS;5.1.-Hurtos;2015;6.005
CANARIAS;5.1.-Hurtos;2014;6.294
CANARIAS;5.1.-Hurtos;2013;6.432
CANARIAS;5.1.-Hurtos;2012;5.965
CANARIAS;5.1.-Hurtos;2011;5.526
CANARIAS;5.1.-Hurtos;2010;4.773
CANARIAS;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;402
CANARIAS;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;447
CANARIAS;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;413
CANARIAS;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;437
CANARIAS;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;522
CANARIAS;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;456
CANARIAS;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2017;619
CANARIAS;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2016;548
CANARIAS;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2015;710
CANARIAS;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2014;664
CANARIAS;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2013;802
CANARIAS;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2012;670
CANARIAS;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2011;554
CANARIAS;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2010;409
CANARIAS;5.2.2.-Robos con fuerza en viviendas;2023;539
CANARIAS;5.2.2.-Robos con fuerza en viviendas;2022;608
CANARIAS;5.2.2.-Robos con fuerza en viviendas;2021;642
CANARIAS;5.2.2.-Robos con fuerza en viviendas;2020;600
CANARIAS;5.2.2.-Robos con fuerza en viviendas;2019;674
CANARIAS;5.2.2.-Robos con fuerza en viviendas;2018;791
CANARIAS;5.2.2.-Robos con fuerza en viviendas;2017;768
CANARIAS;5.2.2.-Robos con fuerza en viviendas;2016;875
CANARIAS;5.2.2.-Robos con fuerza en viviendas;2015;867
CANARIAS;5.2.2.-Robos con fuerza en viviendas;2014;965
CANARIAS;5.2.2.-Robos con fuerza en viviendas;2013;1.263
CANARIAS;5.2.2.-Robos con fuerza en viviendas;2012;987
CANARIAS;5.2.2.-Robos con fuerza en viviendas;2011;737
CANARIAS;5.2.2.-Robos con fuerza en viviendas;2010;935
CANARIAS;5.2.3.-Robos con fuerza en establecimientos;2023;450
CANARIAS;5.2.3.-Robos con fuerza en establecimientos;2022;406
CANARIAS;5.2.3.-Robos con fuerza en establecimientos;2021;376
CANARIAS;5.2.3.-Robos con fuerza en establecimientos;2020;354
CANARIAS;5.2.3.-Robos con fuerza en establecimientos;2019;439
CANARIAS;5.2.3.-Robos con fuerza en establecimientos;2018;498
CANARIAS;5.2.3.-Robos con fuerza en establecimientos;2017;598
CANARIAS;5.2.3.-Robos con fuerza en establecimientos;2016;542
CANARIAS;5.2.3.-Robos con fuerza en establecimientos;2015;510
CANARIAS;5.2.3.-Robos con fuerza en establecimientos;2014;526
CANARIAS;5.2.3.-Robos con fuerza en establecimientos;2013;553
CANARIAS;5.2.3.-Robos con fuerza en establecimientos;2012;486
CANARIAS;5.2.3.-Robos con fuerza en establecimientos;2011;398
CANARIAS;5.2.3.-Robos con fuerza en establecimientos;2010;559
CANARIAS;5.3.1.-Robos con violencia en vía pública;2023;515
CANARIAS;5.3.1.-Robos con violencia en vía pública;2022;415
CANARIAS;5.3.1.-Robos con violencia en vía pública;2021;363
CANARIAS;5.3.1.-Robos con violencia en vía pública;2020;329
CANARIAS;5.3.1.-Robos con violencia en vía pública;2019;409
CANARIAS;5.3.1.-Robos con violencia en vía pública;2018;371
CANARIAS;5.3.1.-Robos con violencia en vía pública;2017;334
CANARIAS;5.3.1.-Robos con violencia en vía pública;2016;373
CANARIAS;5.3.1.-Robos con violencia en vía pública;2015;422
CANARIAS;5.3.1.-Robos con violencia en vía pública;2014;482
CANARIAS;5.3.1.-Robos con violencia en vía pública;2013;532
CANARIAS;5.3.1.-Robos con violencia en vía pública;2012;540
CANARIAS;5.3.1.-Robos con violencia en vía pública;2011;456
CANARIAS;5.3.1.-Robos con violencia en vía pública;2010;530
CANARIAS;5.3.2.-Robos con violencia en viviendas;2023;105
CANARIAS;5.3.2.-Robos con violencia en viviendas;2022;84
CANARIAS;5.3.2.-Robos con violencia en viviendas;2021;88
CANARIAS;5.3.2.-Robos con violencia en viviendas;2020;109
CANARIAS;5.3.2.-Robos con violencia en viviendas;2019;89
CANARIAS;5.3.2.-Robos con violencia en viviendas;2018;71
CANARIAS;5.3.2.-Robos con violencia en viviendas;2017;70
CANARIAS;5.3.2.-Robos con violencia en viviendas;2016;88
CANARIAS;5.3.2.-Robos con violencia en viviendas;2015;71
CANARIAS;5.3.2.-Robos con violencia en viviendas;2014;54
CANARIAS;5.3.2.-Robos con violencia en viviendas;2013;91
CANARIAS;5.3.2.-Robos con violencia en viviendas;2012;85
CANARIAS;5.3.2.-Robos con violencia en viviendas;2011;66
CANARIAS;5.3.2.-Robos con violencia en viviendas;2010;72
CANARIAS;5.3.3.-Robos con violencia en establecimientos;2023;225
CANARIAS;5.3.3.-Robos con violencia en establecimientos;2022;214
CANARIAS;5.3.3.-Robos con violencia en establecimientos;2021;174
CANARIAS;5.3.3.-Robos con violencia en establecimientos;2020;178
CANARIAS;5.3.3.-Robos con violencia en establecimientos;2019;178
CANARIAS;5.3.3.-Robos con violencia en establecimientos;2018;190
CANARIAS;5.3.3.-Robos con violencia en establecimientos;2017;150
CANARIAS;5.3.3.-Robos con violencia en establecimientos;2016;158
CANARIAS;5.3.3.-Robos con violencia en establecimientos;2015;166
CANARIAS;5.3.3.-Robos con violencia en establecimientos;2014;161
CANARIAS;5.3.3.-Robos con violencia en establecimientos;2013;141
CANARIAS;5.3.3.-Robos con violencia en establecimientos;2012;155
CANARIAS;5.3.3.-Robos con violencia en establecimientos;2011;161
CANARIAS;5.3.3.-Robos con violencia en establecimientos;2010;159
CANTABRIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;0
CANTABRIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;1
CANTABRIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;4
CANTABRIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;1
CANTABRIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;6
CANTABRIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;1
CANTABRIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2017;2
CANTABRIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2016;0
CANTABRIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2015;4
CANTABRIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2014;2
CANTABRIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2013;4
CANTABRIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2012;1
CANTABRIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2011;2
CANTABRIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2010;1
CANTABRIA;1.2.-Lesiones;2023;1.449
CANTABRIA;1.2.-Lesiones;2022;1.231
CANTABRIA;1.2.-Lesiones;2021;1.072
CANTABRIA;1.2.-Lesiones;2020;899
CANTABRIA;1.2.-Lesiones;2019;1.107
CANTABRIA;1.2.-Lesiones;2018;1.279
CANTABRIA;1.2.-Lesiones;2017;1.159
CANTABRIA;1.2.-Lesiones;2016;1.186
CANTABRIA;1.2.-Lesiones;2015;1.195
CANTABRIA;1.2.-Lesiones;2014;1.163
CANTABRIA;1.2.-Lesiones;2013;1.283
CANTABRIA;1.2.-Lesiones;2012;1.260
CANTABRIA;1.2.-Lesiones;2011;1.408
CANTABRIA;1.2.-Lesiones;2010;1.331
CANTABRIA;3.1.-Agresión sexual;2023;94
CANTABRIA;3.1.-Agresión sexual;2022;82
CANTABRIA;3.1.-Agresión sexual;2021;75
CANTABRIA;3.1.-Agresión sexual;2020;45
CANTABRIA;3.1.-Agresión sexual;2019;55
CANTABRIA;3.1.-Agresión sexual;2018;53
CANTABRIA;3.1.-Agresión sexual;2017;48
CANTABRIA;3.1.-Agresión sexual;2016;29
CANTABRIA;3.1.-Agresión sexual;2015;26
CANTABRIA;3.1.-Agresión sexual;2014;42
CANTABRIA;3.1.-Agresión sexual;2013;34
CANTABRIA;3.1.-Agresión sexual;2012;23
CANTABRIA;3.1.-Agresión sexual;2011;37
CANTABRIA;3.1.-Agresión sexual;2010;33
CANTABRIA;3.2.-Agresión sexual con penetración;2023;35
CANTABRIA;3.2.-Agresión sexual con penetración;2022;40
CANTABRIA;3.2.-Agresión sexual con penetración;2021;28
CANTABRIA;3.2.-Agresión sexual con penetración;2020;14
CANTABRIA;3.2.-Agresión sexual con penetración;2019;15
CANTABRIA;3.2.-Agresión sexual con penetración;2018;13
CANTABRIA;3.2.-Agresión sexual con penetración;2017;16
CANTABRIA;3.2.-Agresión sexual con penetración;2016;10
CANTABRIA;3.2.-Agresión sexual con penetración;2015;11
CANTABRIA;3.2.-Agresión sexual con penetración;2014;7
CANTABRIA;3.2.-Agresión sexual con penetración;2013;7
CANTABRIA;3.2.-Agresión sexual con penetración;2012;7
CANTABRIA;3.2.-Agresión sexual con penetración;2011;14
CANTABRIA;3.2.-Agresión sexual con penetración;2010;21
CANTABRIA;5.1.-Hurtos;2023;1.554
CANTABRIA;5.1.-Hurtos;2022;1.438
CANTABRIA;5.1.-Hurtos;2021;1.190
CANTABRIA;5.1.-Hurtos;2020;1.012
CANTABRIA;5.1.-Hurtos;2019;1.239
CANTABRIA;5.1.-Hurtos;2018;1.191
CANTABRIA;5.1.-Hurtos;2017;1.224
CANTABRIA;5.1.-Hurtos;2016;1.221
CANTABRIA;5.1.-Hurtos;2015;1.238
CANTABRIA;5.1.-Hurtos;2014;1.382
CANTABRIA;5.1.-Hurtos;2013;1.565
CANTABRIA;5.1.-Hurtos;2012;1.373
CANTABRIA;5.1.-Hurtos;2011;1.212
CANTABRIA;5.1.-Hurtos;2010;1.173
CANTABRIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;68
CANTABRIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;92
CANTABRIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;83
CANTABRIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;93
CANTABRIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;50
CANTABRIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;54
CANTABRIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2017;52
CANTABRIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2016;56
CANTABRIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2015;75
CANTABRIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2014;76
CANTABRIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2013;89
CANTABRIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2012;81
CANTABRIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2011;96
CANTABRIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2010;56
CANTABRIA;5.2.2.-Robos con fuerza en viviendas;2023;138
CANTABRIA;5.2.2.-Robos con fuerza en viviendas;2022;105
CANTABRIA;5.2.2.-Robos con fuerza en viviendas;2021;101
CANTABRIA;5.2.2.-Robos con fuerza en viviendas;2020;134
CANTABRIA;5.2.2.-Robos con fuerza en viviendas;2019;161
CANTABRIA;5.2.2.-Robos con fuerza en viviendas;2018;178
CANTABRIA;5.2.2.-Robos con fuerza en viviendas;2017;187
CANTABRIA;5.2.2.-Robos con fuerza en viviendas;2016;252
CANTABRIA;5.2.2.-Robos con fuerza en viviendas;2015;154
CANTABRIA;5.2.2.-Robos con fuerza en viviendas;2014;236
CANTABRIA;5.2.2.-Robos con fuerza en viviendas;2013;228
CANTABRIA;5.2.2.-Robos con fuerza en viviendas;2012;187
CANTABRIA;5.2.2.-Robos con fuerza en viviendas;2011;110
CANTABRIA;5.2.2.-Robos con fuerza en viviendas;2010;147
CANTABRIA;5.2.3.-Robos con fuerza en establecimientos;2023;147
CANTABRIA;5.2.3.-Robos con fuerza en establecimientos;2022;121
CANTABRIA;5.2.3.-Robos con fuerza en establecimientos;2021;151
CANTABRIA;5.2.3.-Robos con fuerza en establecimientos;2020;135
CANTABRIA;5.2.3.-Robos con fuerza en establecimientos;2019;191
CANTABRIA;5.2.3.-Robos con fuerza en establecimientos;2018;134
CANTABRIA;5.2.3.-Robos con fuerza en establecimientos;2017;196
CANTABRIA;5.2.3.-Robos con fuerza en establecimientos;2016;181
CANTABRIA;5.2.3.-Robos con fuerza en establecimientos;2015;186
CANTABRIA;5.2.3.-Robos con fuerza en establecimientos;2014;142
CANTABRIA;5.2.3.-Robos con fuerza en establecimientos;2013;165
CANTABRIA;5.2.3.-Robos con fuerza en establecimientos;2012;151
CANTABRIA;5.2.3.-Robos con fuerza en establecimientos;2011;159
CANTABRIA;5.2.3.-Robos con fuerza en establecimientos;2010;192
CANTABRIA;5.3.1.-Robos con violencia en vía pública;2023;49
CANTABRIA;5.3.1.-Robos con violencia en vía pública;2022;44
CANTABRIA;5.3.1.-Robos con violencia en vía pública;2021;53
CANTABRIA;5.3.1.-Robos con violencia en vía pública;2020;47
CANTABRIA;5.3.1.-Robos con violencia en vía pública;2019;37
CANTABRIA;5.3.1.-Robos con violencia en vía pública;2018;28
CANTABRIA;5.3.1.-Robos con violencia en vía pública;2017;36
CANTABRIA;5.3.1.-Robos con violencia en vía pública;2016;32
CANTABRIA;5.3.1.-Robos con violencia en vía pública;2015;42
CANTABRIA;5.3.1.-Robos con violencia en vía pública;2014;66
CANTABRIA;5.3.1.-Robos con violencia en vía pública;2013;72
CANTABRIA;5.3.1.-Robos con violencia en vía pública;2012;93
CANTABRIA;5.3.1.-Robos con violencia en vía pública;2011;87
CANTABRIA;5.3.1.-Robos con violencia en vía pública;2010;125
CANTABRIA;5.3.2.-Robos con violencia en viviendas;2023;12
CANTABRIA;5.3.2.-Robos con violencia en viviendas;2022;13
CANTABRIA;5.3.2.-Robos con violencia en viviendas;2021;22
CANTABRIA;5.3.2.-Robos con violencia en viviendas;2020;12
CANTABRIA;5.3.2.-Robos con violencia en viviendas;2019;13
CANTABRIA;5.3.2.-Robos con violencia en viviendas;2018;6
CANTABRIA;5.3.2.-Robos con violencia en viviendas;2017;10
CANTABRIA;5.3.2.-Robos con violencia en viviendas;2016;6
CANTABRIA;5.3.2.-Robos con violencia en viviendas;2015;5
CANTABRIA;5.3.2.-Robos con violencia en viviendas;2014;13
CANTABRIA;5.3.2.-Robos con violencia en viviendas;2013;18
CANTABRIA;5.3.2.-Robos con violencia en viviendas;2012;14
CANTABRIA;5.3.2.-Robos con violencia en viviendas;2011;11
CANTABRIA;5.3.2.-Robos con violencia en viviendas;2010;15
CANTABRIA;5.3.3.-Robos con violencia en establecimientos;2023;51
CANTABRIA;5.3.3.-Robos con violencia en establecimientos;2022;51
CANTABRIA;5.3.3.-Robos con violencia en establecimientos;2021;22
CANTABRIA;5.3.3.-Robos con violencia en establecimientos;2020;35
CANTABRIA;5.3.3.-Robos con violencia en establecimientos;2019;35
CANTABRIA;5.3.3.-Robos con violencia en establecimientos;2018;23
CANTABRIA;5.3.3.-Robos con violencia en establecimientos;2017;22
CANTABRIA;5.3.3.-Robos con violencia en establecimientos;2016;32
CANTABRIA;5.3.3.-Robos con violencia en establecimientos;2015;31
CANTABRIA;5.3.3.-Robos con violencia en establecimientos;2014;39
CANTABRIA;5.3.3.-Robos con violencia en establecimientos;2013;53
CANTABRIA;5.3.3.-Robos con violencia en establecimientos;2012;46
CANTABRIA;5.3.3.-Robos con violencia en establecimientos;2011;32
CANTABRIA;5.3.3.-Robos con violencia en establecimientos;2010;29
CASTILLA Y LEÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;11
CASTILLA Y LEÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;17
CASTILLA Y LEÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;13
CASTILLA Y LEÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;14
CASTILLA Y LEÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;10
CASTILLA Y LEÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;11
CASTILLA Y LEÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2017;13
CASTILLA Y LEÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2016;10
CASTILLA Y LEÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2015;9
CASTILLA Y LEÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2014;16
CASTILLA Y LEÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2013;22
CASTILLA Y LEÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2012;12
CASTILLA Y LEÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2011;17
CASTILLA Y LEÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2010;9
CASTILLA Y LEÓN;1.2.-Lesiones;2023;4.430
CASTILLA Y LEÓN;1.2.-Lesiones;2022;4.347
CASTILLA Y LEÓN;1.2.-Lesiones;2021;3.662
CASTILLA Y LEÓN;1.2.-Lesiones;2020;3.027
CASTILLA Y LEÓN;1.2.-Lesiones;2019;3.851
CASTILLA Y LEÓN;1.2.-Lesiones;2018;3.956
CASTILLA Y LEÓN;1.2.-Lesiones;2017;4.001
CASTILLA Y LEÓN;1.2.-Lesiones;2016;3.896
CASTILLA Y LEÓN;1.2.-Lesiones;2015;4.071
CASTILLA Y LEÓN;1.2.-Lesiones;2014;4.093
CASTILLA Y LEÓN;1.2.-Lesiones;2013;4.125
CASTILLA Y LEÓN;1.2.-Lesiones;2012;4.647
CASTILLA Y LEÓN;1.2.-Lesiones;2011;4.798
CASTILLA Y LEÓN;1.2.-Lesiones;2010;4.665
CASTILLA Y LEÓN;3.1.-Agresión sexual;2023;374
CASTILLA Y LEÓN;3.1.-Agresión sexual;2022;320
CASTILLA Y LEÓN;3.1.-Agresión sexual;2021;280
CASTILLA Y LEÓN;3.1.-Agresión sexual;2020;183
CASTILLA Y LEÓN;3.1.-Agresión sexual;2019;241
CASTILLA Y LEÓN;3.1.-Agresión sexual;2018;212
CASTILLA Y LEÓN;3.1.-Agresión sexual;2017;184
CASTILLA Y LEÓN;3.1.-Agresión sexual;2016;140
CASTILLA Y LEÓN;3.1.-Agresión sexual;2015;115
CASTILLA Y LEÓN;3.1.-Agresión sexual;2014;125
CASTILLA Y LEÓN;3.1.-Agresión sexual;2013;128
CASTILLA Y LEÓN;3.1.-Agresión sexual;2012;149
CASTILLA Y LEÓN;3.1.-Agresión sexual;2011;119
CASTILLA Y LEÓN;3.1.-Agresión sexual;2010;126
CASTILLA Y LEÓN;3.2.-Agresión sexual con penetración;2023;136
CASTILLA Y LEÓN;3.2.-Agresión sexual con penetración;2022;100
CASTILLA Y LEÓN;3.2.-Agresión sexual con penetración;2021;111
CASTILLA Y LEÓN;3.2.-Agresión sexual con penetración;2020;61
CASTILLA Y LEÓN;3.2.-Agresión sexual con penetración;2019;77
CASTILLA Y LEÓN;3.2.-Agresión sexual con penetración;2018;74
CASTILLA Y LEÓN;3.2.-Agresión sexual con penetración;2017;49
CASTILLA Y LEÓN;3.2.-Agresión sexual con penetración;2016;35
CASTILLA Y LEÓN;3.2.-Agresión sexual con penetración;2015;36
CASTILLA Y LEÓN;3.2.-Agresión sexual con penetración;2014;30
CASTILLA Y LEÓN;3.2.-Agresión sexual con penetración;2013;31
CASTILLA Y LEÓN;3.2.-Agresión sexual con penetración;2012;42
CASTILLA Y LEÓN;3.2.-Agresión sexual con penetración;2011;48
CASTILLA Y LEÓN;3.2.-Agresión sexual con penetración;2010;33
CASTILLA Y LEÓN;5.1.-Hurtos;2023;5.543
CASTILLA Y LEÓN;5.1.-Hurtos;2022;4.807
CASTILLA Y LEÓN;5.1.-Hurtos;2021;3.737
CASTILLA Y LEÓN;5.1.-Hurtos;2020;3.039
CASTILLA Y LEÓN;5.1.-Hurtos;2019;4.701
CASTILLA Y LEÓN;5.1.-Hurtos;2018;4.287
CASTILLA Y LEÓN;5.1.-Hurtos;2017;4.355
CASTILLA Y LEÓN;5.1.-Hurtos;2016;4.485
CASTILLA Y LEÓN;5.1.-Hurtos;2015;4.629
CASTILLA Y LEÓN;5.1.-Hurtos;2014;5.295
CASTILLA Y LEÓN;5.1.-Hurtos;2013;5.536
CASTILLA Y LEÓN;5.1.-Hurtos;2012;5.183
CASTILLA Y LEÓN;5.1.-Hurtos;2011;4.992
CASTILLA Y LEÓN;5.1.-Hurtos;2010;4.792
CASTILLA Y LEÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;315
CASTILLA Y LEÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;204
CASTILLA Y LEÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;210
CASTILLA Y LEÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;225
CASTILLA Y LEÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;193
CASTILLA Y LEÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;220
CASTILLA Y LEÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2017;502
CASTILLA Y LEÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2016;404
CASTILLA Y LEÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2015;317
CASTILLA Y LEÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2014;518
CASTILLA Y LEÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2013;330
CASTILLA Y LEÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2012;356
CASTILLA Y LEÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2011;694
CASTILLA Y LEÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2010;757
CASTILLA Y LEÓN;5.2.2.-Robos con fuerza en viviendas;2023;420
CASTILLA Y LEÓN;5.2.2.-Robos con fuerza en viviendas;2022;407
CASTILLA Y LEÓN;5.2.2.-Robos con fuerza en viviendas;2021;366
CASTILLA Y LEÓN;5.2.2.-Robos con fuerza en viviendas;2020;368
CASTILLA Y LEÓN;5.2.2.-Robos con fuerza en viviendas;2019;511
CASTILLA Y LEÓN;5.2.2.-Robos con fuerza en viviendas;2018;490
CASTILLA Y LEÓN;5.2.2.-Robos con fuerza en viviendas;2017;614
CASTILLA Y LEÓN;5.2.2.-Robos con fuerza en viviendas;2016;531
CASTILLA Y LEÓN;5.2.2.-Robos con fuerza en viviendas;2015;583
CASTILLA Y LEÓN;5.2.2.-Robos con fuerza en viviendas;2014;863
CASTILLA Y LEÓN;5.2.2.-Robos con fuerza en viviendas;2013;731
CASTILLA Y LEÓN;5.2.2.-Robos con fuerza en viviendas;2012;526
CASTILLA Y LEÓN;5.2.2.-Robos con fuerza en viviendas;2011;414
CASTILLA Y LEÓN;5.2.2.-Robos con fuerza en viviendas;2010;608
CASTILLA Y LEÓN;5.2.3.-Robos con fuerza en establecimientos;2023;372
CASTILLA Y LEÓN;5.2.3.-Robos con fuerza en establecimientos;2022;413
CASTILLA Y LEÓN;5.2.3.-Robos con fuerza en establecimientos;2021;338
CASTILLA Y LEÓN;5.2.3.-Robos con fuerza en establecimientos;2020;330
CASTILLA Y LEÓN;5.2.3.-Robos con fuerza en establecimientos;2019;447
CASTILLA Y LEÓN;5.2.3.-Robos con fuerza en establecimientos;2018;345
CASTILLA Y LEÓN;5.2.3.-Robos con fuerza en establecimientos;2017;524
CASTILLA Y LEÓN;5.2.3.-Robos con fuerza en establecimientos;2016;433
CASTILLA Y LEÓN;5.2.3.-Robos con fuerza en establecimientos;2015;401
CASTILLA Y LEÓN;5.2.3.-Robos con fuerza en establecimientos;2014;629
CASTILLA Y LEÓN;5.2.3.-Robos con fuerza en establecimientos;2013;574
CASTILLA Y LEÓN;5.2.3.-Robos con fuerza en establecimientos;2012;543
CASTILLA Y LEÓN;5.2.3.-Robos con fuerza en establecimientos;2011;498
CASTILLA Y LEÓN;5.2.3.-Robos con fuerza en establecimientos;2010;609
CASTILLA Y LEÓN;5.3.1.-Robos con violencia en vía pública;2023;229
CASTILLA Y LEÓN;5.3.1.-Robos con violencia en vía pública;2022;195
CASTILLA Y LEÓN;5.3.1.-Robos con violencia en vía pública;2021;174
CASTILLA Y LEÓN;5.3.1.-Robos con violencia en vía pública;2020;175
CASTILLA Y LEÓN;5.3.1.-Robos con violencia en vía pública;2019;214
CASTILLA Y LEÓN;5.3.1.-Robos con violencia en vía pública;2018;191
CASTILLA Y LEÓN;5.3.1.-Robos con violencia en vía pública;2017;181
CASTILLA Y LEÓN;5.3.1.-Robos con violencia en vía pública;2016;220
CASTILLA Y LEÓN;5.3.1.-Robos con violencia en vía pública;2015;233
CASTILLA Y LEÓN;5.3.1.-Robos con violencia en vía pública;2014;254
CASTILLA Y LEÓN;5.3.1.-Robos con violencia en vía pública;2013;280
CASTILLA Y LEÓN;5.3.1.-Robos con violencia en vía pública;2012;291
CASTILLA Y LEÓN;5.3.1.-Robos con violencia en vía pública;2011;323
CASTILLA Y LEÓN;5.3.1.-Robos con violencia en vía pública;2010;337
CASTILLA Y LEÓN;5.3.2.-Robos con violencia en viviendas;2023;52
CASTILLA Y LEÓN;5.3.2.-Robos con violencia en viviendas;2022;50
CASTILLA Y LEÓN;5.3.2.-Robos con violencia en viviendas;2021;50
CASTILLA Y LEÓN;5.3.2.-Robos con violencia en viviendas;2020;35
CASTILLA Y LEÓN;5.3.2.-Robos con violencia en viviendas;2019;42
CASTILLA Y LEÓN;5.3.2.-Robos con violencia en viviendas;2018;52
CASTILLA Y LEÓN;5.3.2.-Robos con violencia en viviendas;2017;28
CASTILLA Y LEÓN;5.3.2.-Robos con violencia en viviendas;2016;49
CASTILLA Y LEÓN;5.3.2.-Robos con violencia en viviendas;2015;63
CASTILLA Y LEÓN;5.3.2.-Robos con violencia en viviendas;2014;58
CASTILLA Y LEÓN;5.3.2.-Robos con violencia en viviendas;2013;60
CASTILLA Y LEÓN;5.3.2.-Robos con violencia en viviendas;2012;77
CASTILLA Y LEÓN;5.3.2.-Robos con violencia en viviendas;2011;42
CASTILLA Y LEÓN;5.3.2.-Robos con violencia en viviendas;2010;42
CASTILLA Y LEÓN;5.3.3.-Robos con violencia en establecimientos;2023;156
CASTILLA Y LEÓN;5.3.3.-Robos con violencia en establecimientos;2022;145
CASTILLA Y LEÓN;5.3.3.-Robos con violencia en establecimientos;2021;110
CASTILLA Y LEÓN;5.3.3.-Robos con violencia en establecimientos;2020;77
CASTILLA Y LEÓN;5.3.3.-Robos con violencia en establecimientos;2019;116
CASTILLA Y LEÓN;5.3.3.-Robos con violencia en establecimientos;2018;108
CASTILLA Y LEÓN;5.3.3.-Robos con violencia en establecimientos;2017;91
CASTILLA Y LEÓN;5.3.3.-Robos con violencia en establecimientos;2016;103
CASTILLA Y LEÓN;5.3.3.-Robos con violencia en establecimientos;2015;73
CASTILLA Y LEÓN;5.3.3.-Robos con violencia en establecimientos;2014;106
CASTILLA Y LEÓN;5.3.3.-Robos con violencia en establecimientos;2013;98
